spot_id	row	col	x_center	y_center	raw_n_nuclei	n_nuclei	n_cells	spot_class
R01C01	1.0	1.0	357.32679421768955	110.20885204081632	1.0	1.0	1.0	single
R01C02	1.0	2.0	988.8836357142876	115.53515612244894	1.0	1.0	1.0	single
R01C03	1.0	3.0	1620.4404772108858	120.86146020408157	1.0	1.0	1.0	single
R01C04	1.0	4.0	2251.997318707484	126.1877642857142	1.0	1.0	1.0	single
R01C05	1.0	5.0	2883.554160204082	131.51406836734682	1.0	1.0	1.0	single
R01C06	1.0	6.0	3515.1110017006804	136.84037244897945	1.0	1.0	1.0	single
R02C01	2.0	1.0	357.1975459183688	243.444331632653	1.0	1.0	1.0	single
R02C02	2.0	2.0	988.764911224491	248.7730642857142	1.0	1.0	1.0	single
R02C03	2.0	3.0	1620.3322765306132	254.10179693877544	1.0	1.0	1.0	single
R02C04	2.0	4.0	2251.899641836735	259.4305295918366	1.0	1.0	1.0	single
R02C05	2.0	5.0	2883.4670071428577	264.75926224489785	1.0	1.0	1.0	single
R02C06	2.0	6.0	3515.03437244898	270.08799489795905	1.0	1.0	1.0	single
R03C01	3.0	1.0	357.06829761904805	376.67981122448975	0.0	0.0	0.0	empty
R03C02	3.0	2.0	988.6461867346944	382.0109724489795	1.0	1.0	1.0	single
R03C03	3.0	3.0	1620.2240758503406	387.3421336734693	1.0	1.0	1.0	single
R03C04	3.0	4.0	2251.801964965987	392.6732948979591	1.0	1.0	1.0	single
R03C05	3.0	5.0	2883.3798540816333	398.0044561224488	1.0	1.0	1.0	single
R03C06	3.0	6.0	3514.95774319728	403.3356173469386	1.0	1.0	1.0	single
R04C01	4.0	1.0	356.93904931972736	509.9152908163264	1.0	1.0	1.0	single
R04C02	4.0	2.0	988.5274622448976	515.2488806122448	1.0	1.0	1.0	single
R04C03	4.0	3.0	1620.115875170068	520.5824704081631	1.0	1.0	1.0	single
R04C04	4.0	4.0	2251.7042880952386	525.9160602040815	1.0	1.0	1.0	single
R04C05	4.0	5.0	2883.292701020409	531.2496499999999	1.0	1.0	1.0	single
R04C06	4.0	6.0	3514.8811139455797	536.5832397959182	1.0	1.0	1.0	single
R05C01	5.0	1.0	356.80980102040667	643.1507704081631	1.0	1.0	1.0	single
R05C02	5.0	2.0	988.408737755101	648.48678877551	1.0	1.0	1.0	single
R05C03	5.0	3.0	1620.0076744897956	653.822807142857	1.0	1.0	1.0	single
R05C04	5.0	4.0	2251.60661122449	659.158825510204	1.0	1.0	1.0	single
R05C05	5.0	5.0	2883.205547959185	664.4948438775509	1.0	1.0	1.0	single
R05C06	5.0	6.0	3514.804484693879	669.8308622448978	1.0	1.0	1.0	single
R06C01	6.0	1.0	356.68055272108586	776.3862499999998	1.0	1.0	1.0	single
R06C02	6.0	2.0	988.2900132653044	781.7246969387754	1.0	1.0	1.0	single
R06C03	6.0	3.0	1619.899473809523	787.0631438775509	1.0	1.0	1.0	single
R06C04	6.0	4.0	2251.5089343537416	792.4015908163263	1.0	1.0	1.0	single
R06C05	6.0	5.0	2883.118394897961	797.740037755102	1.0	1.0	1.0	single
R06C06	6.0	6.0	3514.7278554421787	803.0784846938775	1.0	1.0	1.0	single
